,reviews,aspects,polarity,SUPPORT#QUALITY,KEYBOARD#USABILITY,DISPLAY#QUALITY,DISPLAY#GENERAL,MULTIMEDIA_DEVICES#USABILITY,SOFTWARE#PRICE,DISPLAY#USABILITY,SUPPORT#PRICE,OS#USABILITY,GRAPHICS#DESIGN_FEATURES,LAPTOP#MISCELLANEOUS,COMPANY#GENERAL,SOFTWARE#USABILITY,LAPTOP#QUALITY,DISPLAY#DESIGN_FEATURES,HARD_DISC#DESIGN_FEATURES,MOUSE#USABILITY,OS#DESIGN_FEATURES,LAPTOP#CONNECTIVITY,KEYBOARD#OPERATION_PERFORMANCE,MOUSE#GENERAL,MOUSE#QUALITY,KEYBOARD#GENERAL,MOTHERBOARD#QUALITY,WARRANTY#GENERAL,OS#QUALITY,CPU#OPERATION_PERFORMANCE,OS#OPERATION_PERFORMANCE,SOFTWARE#QUALITY,GRAPHICS#MISCELLANEOUS,OS#GENERAL,FANS_COOLING#OPERATION_PERFORMANCE,KEYBOARD#QUALITY,DISPLAY#OPERATION_PERFORMANCE,MULTIMEDIA_DEVICES#GENERAL,SOFTWARE#OPERATION_PERFORMANCE,LAPTOP#PORTABILITY,PORTS#OPERATION_PERFORMANCE,MOUSE#OPERATION_PERFORMANCE,LAPTOP#USABILITY,POWER_SUPPLY#DESIGN_FEATURES,SOFTWARE#DESIGN_FEATURES,OS#MISCELLANEOUS,MOUSE#DESIGN_FEATURES,MULTIMEDIA_DEVICES#DESIGN_FEATURES,BATTERY#QUALITY,BATTERY#OPERATION_PERFORMANCE,LAPTOP#PRICE,MEMORY#DESIGN_FEATURES,CPU#MISCELLANEOUS,LAPTOP#DESIGN_FEATURES,HARD_DISC#QUALITY,SOFTWARE#GENERAL,KEYBOARD#DESIGN_FEATURES,SHIPPING#QUALITY,HARDWARE#QUALITY,LAPTOP#OPERATION_PERFORMANCE,CPU#DESIGN_FEATURES,MULTIMEDIA_DEVICES#QUALITY
0,Being a PC user my whole life....,[nan],[nan],nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing
1,This computer is absolutely AMAZING!!!,['LAPTOP#GENERAL'],['positive'],nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing
2,10 plus hours of battery...,['BATTERY#OPERATION_PERFORMANCE'],['positive'],nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,positive,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing
3,super fast processor and really nice graphics card..,"['CPU#OPERATION_PERFORMANCE', 'GRAPHICS#GENERAL']","['positive', 'positive']",nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,positive,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing
4,and plenty of storage with 250 gb(though I will upgrade this and the ram..),['HARD_DISC#DESIGN_FEATURES'],['positive'],nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,positive,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing
5,This computer is really fast and I'm shocked as to how easy it is to get used to...,"['LAPTOP#OPERATION_PERFORMANCE', 'LAPTOP#USABILITY']","['positive', 'positive']",nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,positive,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,positive,nothing,nothing
6,I've only had mine a day but I'm already used to it...,['LAPTOP#USABILITY'],['positive'],nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,positive,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing
7,MACS ARE AMAZING!!!,[nan],[nan],nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing
8,GET THIS COMPUTER FOR PORTABILITY AND FAST PROCESSING!!!,"['LAPTOP#PORTABILITY', 'CPU#OPERATION_PERFORMANCE']","['positive', 'positive']",nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,positive,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,positive,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing
9,the laptop was really good and it goes really fast just the way i thought it would of run.,"['LAPTOP#GENERAL', 'LAPTOP#OPERATION_PERFORMANCE']","['positive', 'positive']",nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,positive,nothing,nothing
10,i would really recommend to any person out there to get this laptop cause its really worth it.,['LAPTOP#GENERAL'],['positive'],nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing
11,and its really cheap and you wont regret buying it.,"['LAPTOP#PRICE', 'LAPTOP#GENERAL']","['positive', 'positive']",nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,positive,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing
12,"As a lifelong Windows user, I was extremely pleased to make the change to Mac.",[nan],[nan],nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing
